"","year","country","influenza activity"
"103",2003,"New.Zealand",244497
"104",2003,"Norway",244497
"105",2003,"Paraguay",244497
"106",2003,"Peru",244497
"107",2003,"Poland",244497
"108",2003,"Romania",244497
"109",2003,"Russia",244497
"110",2003,"South.Africa",244497
"111",2003,"Spain",244497
"112",2003,"Sweden",244497
"113",2003,"Switzerland",244497
"114",2003,"Ukraine",244497
"115",2003,"United.States",244497
"116",2003,"Uruguay",244497
"117",2003,"Argentina",244497
"118",2003,"Australia",244497
"119",2003,"Austria",244497
"120",2003,"Belgium",244497
"121",2003,"Bolivia",244497
"122",2003,"Brazil",244497
"123",2003,"Bulgaria",244497
"124",2003,"Canada",244497
"125",2003,"Chile",244497
"126",2003,"France",244497
"127",2003,"Germany",244497
"128",2003,"Hungary",244497
"129",2003,"Japan",244497
"130",2003,"Mexico",244497
"131",2003,"Netherlands",244497
"132",2003,"New.Zealand",244497
"133",2003,"Norway",244497
"134",2003,"Paraguay",244497
"135",2003,"Peru",244497
"136",2003,"Poland",244497
"137",2003,"Romania",244497
"138",2003,"Russia",244497
"139",2003,"South.Africa",244497
"140",2003,"Spain",244497
"141",2003,"Sweden",244497
"142",2003,"Switzerland",244497
"143",2003,"Ukraine",244497
"144",2003,"United.States",244497
"145",2003,"Uruguay",244497
"146",2003,"Argentina",244497
"147",2003,"Australia",244497
"148",2003,"Austria",244497
"149",2003,"Belgium",244497
"150",2003,"Bolivia",244497
"151",2003,"Brazil",244497
"152",2003,"Bulgaria",244497
"153",2003,"Canada",244497
"154",2003,"Chile",244497
"155",2003,"France",244497
"156",2003,"Germany",244497
"157",2003,"Hungary",244497
"158",2003,"Japan",244497
"159",2003,"Mexico",244497
"160",2003,"Netherlands",244497
"161",2003,"New.Zealand",244497
"162",2003,"Norway",244497
"163",2003,"Paraguay",244497
"164",2003,"Peru",244497
"165",2003,"Poland",244497
"166",2003,"Romania",244497
"167",2003,"Russia",244497
"168",2003,"South.Africa",244497
"169",2003,"Spain",244497
"170",2003,"Sweden",244497
"171",2003,"Switzerland",244497
"172",2003,"Ukraine",244497
"173",2003,"United.States",244497
"174",2003,"Uruguay",244497
"175",2003,"Argentina",244497
"176",2003,"Australia",244497
"177",2003,"Austria",244497
"178",2003,"Belgium",244497
"179",2003,"Bolivia",244497
"180",2003,"Brazil",244497
"181",2003,"Bulgaria",244497
"182",2003,"Canada",244497
"183",2003,"Chile",244497
"184",2003,"France",244497
"185",2003,"Germany",244497
"186",2003,"Hungary",244497
"187",2003,"Japan",244497
"188",2003,"Mexico",244497
"189",2003,"Netherlands",244497
"190",2003,"New.Zealand",244497
"191",2003,"Norway",244497
"192",2003,"Paraguay",244497
"193",2003,"Peru",244497
"194",2003,"Poland",244497
"195",2003,"Romania",244497
"196",2003,"Russia",244497
"197",2003,"South.Africa",244497
"198",2003,"Spain",244497
"199",2003,"Sweden",244497
"200",2003,"Switzerland",244497
"201",2003,"Ukraine",244497
"202",2003,"United.States",244497
"203",2003,"Uruguay",244497
"204",2003,"Argentina",244497
"205",2003,"Australia",244497
"206",2003,"Austria",244497
"207",2003,"Belgium",244497
"208",2003,"Bolivia",244497
"209",2003,"Brazil",244497
"210",2003,"Bulgaria",244497
"211",2003,"Canada",244497
"212",2003,"Chile",244497
"213",2003,"France",244497
"214",2003,"Germany",244497
"215",2003,"Hungary",244497
"216",2003,"Japan",244497
"217",2003,"Mexico",244497
"218",2003,"Netherlands",244497
"219",2003,"New.Zealand",244497
"220",2003,"Norway",244497
"221",2003,"Paraguay",244497
"222",2003,"Peru",244497
"223",2003,"Poland",244497
"224",2003,"Romania",244497
"225",2003,"Russia",244497
"226",2003,"South.Africa",244497
"227",2003,"Spain",244497
"228",2003,"Sweden",244497
"229",2003,"Switzerland",244497
"230",2003,"Ukraine",244497
"231",2003,"United.States",244497
"232",2003,"Uruguay",244497
"233",2003,"Argentina",244497
"234",2003,"Australia",244497
"235",2003,"Austria",244497
"236",2003,"Belgium",244497
"237",2003,"Bolivia",244497
"238",2003,"Brazil",244497
"239",2003,"Bulgaria",244497
"240",2003,"Canada",244497
"241",2003,"Chile",244497
"242",2003,"France",244497
"243",2003,"Germany",244497
"244",2003,"Hungary",244497
"245",2003,"Japan",244497
"246",2003,"Mexico",244497
"247",2003,"Netherlands",244497
"248",2003,"New.Zealand",244497
"249",2003,"Norway",244497
"250",2003,"Paraguay",244497
"251",2003,"Peru",244497
"252",2003,"Poland",244497
"253",2003,"Romania",244497
"254",2003,"Russia",244497
"255",2003,"South.Africa",244497
"256",2003,"Spain",244497
"257",2003,"Sweden",244497
"258",2003,"Switzerland",244497
"259",2003,"Ukraine",244497
"260",2003,"United.States",244497
"261",2003,"Uruguay",244497
"262",2003,"Argentina",244497
"263",2003,"Australia",244497
"264",2003,"Austria",244497
"265",2003,"Belgium",244497
"266",2003,"Bolivia",244497
"267",2003,"Brazil",244497
"268",2003,"Bulgaria",244497
"269",2003,"Canada",244497
"270",2003,"Chile",244497
"271",2003,"France",244497
"272",2003,"Germany",244497
"273",2003,"Hungary",244497
"274",2003,"Japan",244497
"275",2003,"Mexico",244497
"276",2003,"Netherlands",244497
"277",2003,"New.Zealand",244497
"278",2003,"Norway",244497
"279",2003,"Paraguay",244497
"280",2003,"Peru",244497
"281",2003,"Poland",244497
"282",2003,"Romania",244497
"283",2003,"Russia",244497
"284",2003,"South.Africa",244497
"285",2003,"Spain",244497
"286",2003,"Sweden",244497
"287",2003,"Switzerland",244497
"288",2003,"Ukraine",244497
"289",2003,"United.States",244497
"290",2003,"Uruguay",244497
"291",2003,"Argentina",244497
"292",2003,"Australia",244497
"293",2003,"Austria",244497
"294",2003,"Belgium",244497
"295",2003,"Bolivia",244497
"296",2003,"Brazil",244497
"297",2003,"Bulgaria",244497
"298",2003,"Canada",244497
"299",2003,"Chile",244497
"300",2003,"France",244497
"301",2003,"Germany",244497
"302",2003,"Hungary",244497
"303",2003,"Japan",244497
"304",2003,"Mexico",244497
"305",2003,"Netherlands",244497
"306",2003,"New.Zealand",244497
"307",2003,"Norway",244497
"308",2003,"Paraguay",244497
"309",2003,"Peru",244497
"310",2003,"Poland",244497
"311",2003,"Romania",244497
"312",2003,"Russia",244497
"313",2003,"South.Africa",244497
"314",2003,"Spain",244497
"315",2003,"Sweden",244497
"316",2003,"Switzerland",244497
"317",2003,"Ukraine",244497
"318",2003,"United.States",244497
"319",2003,"Uruguay",244497
"320",2003,"Argentina",244497
"321",2003,"Australia",244497
"322",2003,"Austria",244497
"323",2003,"Belgium",244497
"324",2003,"Bolivia",244497
"325",2003,"Brazil",244497
"326",2003,"Bulgaria",244497
"327",2003,"Canada",244497
"328",2003,"Chile",244497
"329",2003,"France",244497
"330",2003,"Germany",244497
"331",2003,"Hungary",244497
"332",2003,"Japan",244497
"333",2003,"Mexico",244497
"334",2003,"Netherlands",244497
"335",2003,"New.Zealand",244497
"336",2003,"Norway",244497
"337",2003,"Paraguay",244497
"338",2003,"Peru",244497
"339",2003,"Poland",244497
"340",2003,"Romania",244497
"341",2003,"Russia",244497
"342",2003,"South.Africa",244497
"343",2003,"Spain",244497
"344",2003,"Sweden",244497
"345",2003,"Switzerland",244497
"346",2003,"Ukraine",244497
"347",2003,"United.States",244497
"348",2003,"Uruguay",244497
"349",2003,"Argentina",244497
"350",2003,"Australia",244497
"351",2003,"Austria",244497
"352",2003,"Belgium",244497
"353",2003,"Bolivia",244497
"354",2003,"Brazil",244497
"355",2003,"Bulgaria",244497
"356",2003,"Canada",244497
"357",2003,"Chile",244497
"358",2003,"France",244497
"359",2003,"Germany",244497
"360",2003,"Hungary",244497
"361",2003,"Japan",244497
"362",2003,"Mexico",244497
"363",2003,"Netherlands",244497
"364",2003,"New.Zealand",244497
"365",2003,"Norway",244497
"366",2003,"Paraguay",244497
"367",2003,"Peru",244497
"368",2003,"Poland",244497
"369",2003,"Romania",244497
"370",2003,"Russia",244497
"371",2003,"South.Africa",244497
"372",2003,"Spain",244497
"373",2003,"Sweden",244497
"374",2003,"Switzerland",244497
"375",2003,"Ukraine",244497
"376",2003,"United.States",244497
"377",2003,"Uruguay",244497
"378",2003,"Argentina",244497
"379",2003,"Australia",244497
"380",2003,"Austria",244497
"381",2003,"Belgium",244497
"382",2003,"Bolivia",244497
"383",2003,"Brazil",244497
"384",2003,"Bulgaria",244497
"385",2003,"Canada",244497
"386",2003,"Chile",244497
"387",2003,"France",244497
"388",2003,"Germany",244497
"389",2003,"Hungary",244497
"390",2003,"Japan",244497
"391",2003,"Mexico",244497
"392",2003,"Netherlands",244497
"393",2003,"New.Zealand",244497
"394",2003,"Norway",244497
"395",2003,"Paraguay",244497
"396",2003,"Peru",244497
"397",2003,"Poland",244497
"398",2003,"Romania",244497
"399",2003,"Russia",244497
"400",2003,"South.Africa",244497
"401",2003,"Spain",244497
"402",2003,"Sweden",244497
"403",2003,"Switzerland",244497
"404",2003,"Ukraine",244497
"405",2003,"United.States",244497
"406",2003,"Uruguay",244497
"407",2003,"Argentina",244497
"408",2003,"Australia",244497
"409",2003,"Austria",244497
"410",2003,"Belgium",244497
"411",2003,"Bolivia",244497
"412",2003,"Brazil",244497
"413",2003,"Bulgaria",244497
"414",2003,"Canada",244497
"415",2003,"Chile",244497
"416",2003,"France",244497
"417",2003,"Germany",244497
"418",2003,"Hungary",244497
"419",2003,"Japan",244497
"420",2003,"Mexico",244497
"421",2003,"Netherlands",244497
"422",2003,"New.Zealand",244497
"423",2003,"Norway",244497
"424",2003,"Paraguay",244497
"425",2003,"Peru",244497
"426",2003,"Poland",244497
"427",2003,"Romania",244497
"428",2003,"Russia",244497
"429",2003,"South.Africa",244497
"430",2003,"Spain",244497
"431",2003,"Sweden",244497
"432",2003,"Switzerland",244497
"433",2003,"Ukraine",244497
"434",2003,"United.States",244497
"435",2003,"Uruguay",244497
"436",2003,"Argentina",244497
"437",2003,"Australia",244497
"438",2003,"Austria",244497
"439",2003,"Belgium",244497
"440",2003,"Bolivia",244497
"441",2003,"Brazil",244497
"442",2003,"Bulgaria",244497
"443",2003,"Canada",244497
"444",2003,"Chile",244497
"445",2003,"France",244497
"446",2003,"Germany",244497
"447",2003,"Hungary",244497
"448",2003,"Japan",244497
"449",2003,"Mexico",244497
"450",2003,"Netherlands",244497
"451",2003,"New.Zealand",244497
"452",2003,"Norway",244497
"453",2003,"Paraguay",244497
"454",2003,"Peru",244497
"455",2003,"Poland",244497
"456",2003,"Romania",244497
"457",2003,"Russia",244497
"458",2003,"South.Africa",244497
"459",2003,"Spain",244497
"460",2003,"Sweden",244497
"461",2003,"Switzerland",244497
"462",2003,"Ukraine",244497
"463",2003,"United.States",244497
"464",2003,"Uruguay",244497
"465",2003,"Argentina",244497
"466",2003,"Australia",244497
"467",2003,"Austria",244497
"468",2003,"Belgium",244497
"469",2003,"Bolivia",244497
"470",2003,"Brazil",244497
"471",2003,"Bulgaria",244497
"472",2003,"Canada",244497
"473",2003,"Chile",244497
"474",2003,"France",244497
"475",2003,"Germany",244497
"476",2003,"Hungary",244497
"477",2003,"Japan",244497
"478",2003,"Mexico",244497
"479",2003,"Netherlands",244497
"480",2003,"New.Zealand",244497
"481",2003,"Norway",244497
"482",2003,"Paraguay",244497
"483",2003,"Peru",244497
"484",2003,"Poland",244497
"485",2003,"Romania",244497
"486",2003,"Russia",244497
"487",2003,"South.Africa",244497
"488",2003,"Spain",244497
"489",2003,"Sweden",244497
"490",2003,"Switzerland",244497
"491",2003,"Ukraine",244497
"492",2003,"United.States",244497
"493",2003,"Uruguay",244497
"494",2003,"Argentina",244497
"495",2003,"Australia",244497
"496",2003,"Austria",244497
"497",2003,"Belgium",244497
"498",2003,"Bolivia",244497
"499",2003,"Brazil",244497
"500",2003,"Bulgaria",244497
"501",2003,"Canada",244497
"502",2003,"Chile",244497
"503",2003,"France",244497
"504",2003,"Germany",244497
"505",2003,"Hungary",244497
"506",2003,"Japan",244497
"507",2003,"Mexico",244497
"508",2003,"Netherlands",244497
"509",2003,"New.Zealand",244497
"510",2003,"Norway",244497
"511",2003,"Paraguay",244497
"512",2003,"Peru",244497
"513",2003,"Poland",244497
"514",2003,"Romania",244497
"515",2003,"Russia",244497
"516",2003,"South.Africa",244497
"517",2003,"Spain",244497
"518",2003,"Sweden",244497
"519",2003,"Switzerland",244497
"520",2003,"Ukraine",244497
"521",2003,"United.States",244497
"522",2003,"Uruguay",244497
"523",2003,"Argentina",244497
"524",2003,"Australia",244497
"525",2003,"Austria",244497
"526",2003,"Belgium",244497
"527",2003,"Bolivia",244497
"528",2003,"Brazil",244497
"529",2003,"Bulgaria",244497
"530",2003,"Canada",244497
"531",2003,"Chile",244497
"532",2003,"France",244497
"533",2003,"Germany",244497
"534",2003,"Hungary",244497
"535",2003,"Japan",244497
"536",2003,"Mexico",244497
"537",2003,"Netherlands",244497
"538",2003,"New.Zealand",244497
"539",2003,"Norway",244497
"540",2003,"Paraguay",244497
"541",2003,"Peru",244497
"542",2003,"Poland",244497
"543",2003,"Romania",244497
"544",2003,"Russia",244497
"545",2003,"South.Africa",244497
"546",2003,"Spain",244497
"547",2003,"Sweden",244497
"548",2003,"Switzerland",244497
"549",2003,"Ukraine",244497
"550",2003,"United.States",244497
"551",2003,"Uruguay",244497
"552",2003,"Argentina",244497
"553",2003,"Australia",244497
"554",2003,"Austria",244497
"555",2003,"Belgium",244497
"556",2003,"Bolivia",244497
"557",2003,"Brazil",244497
"558",2003,"Bulgaria",244497
"559",2003,"Canada",244497
"560",2003,"Chile",244497
"561",2003,"France",244497
"562",2003,"Germany",244497
"563",2003,"Hungary",244497
"564",2003,"Japan",244497
"565",2003,"Mexico",244497
"566",2003,"Netherlands",244497
"567",2003,"New.Zealand",244497
"568",2003,"Norway",244497
"569",2003,"Paraguay",244497
"570",2003,"Peru",244497
"571",2003,"Poland",244497
"572",2003,"Romania",244497
"573",2003,"Russia",244497
"574",2003,"South.Africa",244497
"575",2003,"Spain",244497
"576",2003,"Sweden",244497
"577",2003,"Switzerland",244497
"578",2003,"Ukraine",244497
"579",2003,"United.States",244497
"580",2003,"Uruguay",244497
"581",2003,"Argentina",244497
"582",2003,"Australia",244497
"583",2003,"Austria",244497
"584",2003,"Belgium",244497
"585",2003,"Bolivia",244497
"586",2003,"Brazil",244497
"587",2003,"Bulgaria",244497
"588",2003,"Canada",244497
"589",2003,"Chile",244497
"590",2003,"France",244497
"591",2003,"Germany",244497
"592",2003,"Hungary",244497
"593",2003,"Japan",244497
"594",2003,"Mexico",244497
"595",2003,"Netherlands",244497
"596",2003,"New.Zealand",244497
"597",2003,"Norway",244497
"598",2003,"Paraguay",244497
"599",2003,"Peru",244497
"600",2003,"Poland",244497
"601",2003,"Romania",244497
"602",2003,"Russia",244497
"603",2003,"South.Africa",244497
"604",2003,"Spain",244497
"605",2003,"Sweden",244497
"606",2003,"Switzerland",244497
"607",2003,"Ukraine",244497
"608",2003,"United.States",244497
"609",2003,"Uruguay",244497
"610",2003,"Argentina",244497
"611",2003,"Australia",244497
"612",2003,"Austria",244497
"613",2003,"Belgium",244497
"614",2003,"Bolivia",244497
"615",2003,"Brazil",244497
"616",2003,"Bulgaria",244497
"617",2003,"Canada",244497
"618",2003,"Chile",244497
"619",2003,"France",244497
"620",2003,"Germany",244497
"621",2003,"Hungary",244497
"622",2003,"Japan",244497
"623",2003,"Mexico",244497
"624",2003,"Netherlands",244497
"625",2003,"New.Zealand",244497
"626",2003,"Norway",244497
"627",2003,"Paraguay",244497
"628",2003,"Peru",244497
"629",2003,"Poland",244497
"630",2003,"Romania",244497
"631",2003,"Russia",244497
"632",2003,"South.Africa",244497
"633",2003,"Spain",244497
"634",2003,"Sweden",244497
"635",2003,"Switzerland",244497
"636",2003,"Ukraine",244497
"637",2003,"United.States",244497
"638",2003,"Uruguay",244497
"639",2003,"Argentina",244497
"640",2003,"Australia",244497
"641",2003,"Austria",244497
"642",2003,"Belgium",244497
"643",2003,"Bolivia",244497
"644",2003,"Brazil",244497
"645",2003,"Bulgaria",244497
"646",2003,"Canada",244497
"647",2003,"Chile",244497
"648",2003,"France",244497
"649",2003,"Germany",244497
"650",2003,"Hungary",244497
"651",2003,"Japan",244497
"652",2003,"Mexico",244497
"653",2003,"Netherlands",244497
"654",2003,"New.Zealand",244497
"655",2003,"Norway",244497
"656",2003,"Paraguay",244497
"657",2003,"Peru",244497
"658",2003,"Poland",244497
"659",2003,"Romania",244497
"660",2003,"Russia",244497
"661",2003,"South.Africa",244497
"662",2003,"Spain",244497
"663",2003,"Sweden",244497
"664",2003,"Switzerland",244497
"665",2003,"Ukraine",244497
"666",2003,"United.States",244497
"667",2003,"Uruguay",244497
"668",2003,"Argentina",244497
"669",2003,"Australia",244497
"670",2003,"Austria",244497
"671",2003,"Belgium",244497
"672",2003,"Bolivia",244497
"673",2003,"Brazil",244497
"674",2003,"Bulgaria",244497
"675",2003,"Canada",244497
"676",2003,"Chile",244497
"677",2003,"France",244497
"678",2003,"Germany",244497
"679",2003,"Hungary",244497
"680",2003,"Japan",244497
"681",2003,"Mexico",244497
"682",2003,"Netherlands",244497
"683",2003,"New.Zealand",244497
"684",2003,"Norway",244497
"685",2003,"Paraguay",244497
"686",2003,"Peru",244497
"687",2003,"Poland",244497
"688",2003,"Romania",244497
"689",2003,"Russia",244497
"690",2003,"South.Africa",244497
"691",2003,"Spain",244497
"692",2003,"Sweden",244497
"693",2003,"Switzerland",244497
"694",2003,"Ukraine",244497
"695",2003,"United.States",244497
"696",2003,"Uruguay",244497
"697",2003,"Argentina",244497
"698",2003,"Australia",244497
"699",2003,"Austria",244497
"700",2003,"Belgium",244497
"701",2003,"Bolivia",244497
"702",2003,"Brazil",244497
"703",2003,"Bulgaria",244497
"704",2003,"Canada",244497
"705",2003,"Chile",244497
"706",2003,"France",244497
"707",2003,"Germany",244497
"708",2003,"Hungary",244497
"709",2003,"Japan",244497
"710",2003,"Mexico",244497
"711",2003,"Netherlands",244497
"712",2003,"New.Zealand",244497
"713",2003,"Norway",244497
"714",2003,"Paraguay",244497
"715",2003,"Peru",244497
"716",2003,"Poland",244497
"717",2003,"Romania",244497
"718",2003,"Russia",244497
"719",2003,"South.Africa",244497
"720",2003,"Spain",244497
"721",2003,"Sweden",244497
"722",2003,"Switzerland",244497
"723",2003,"Ukraine",244497
"724",2003,"United.States",244497
"725",2003,"Uruguay",244497
"726",2003,"Argentina",244497
"727",2003,"Australia",244497
"728",2003,"Austria",244497
"729",2003,"Belgium",244497
"730",2003,"Bolivia",244497
"731",2003,"Brazil",244497
"732",2003,"Bulgaria",244497
"733",2003,"Canada",244497
"734",2003,"Chile",244497
"735",2003,"France",244497
"736",2003,"Germany",244497
"737",2003,"Hungary",244497
"738",2003,"Japan",244497
"739",2003,"Mexico",244497
"740",2003,"Netherlands",244497
"741",2003,"New.Zealand",244497
"742",2003,"Norway",244497
"743",2003,"Paraguay",244497
"744",2003,"Peru",244497
"745",2003,"Poland",244497
"746",2003,"Romania",244497
"747",2003,"Russia",244497
"748",2003,"South.Africa",244497
"749",2003,"Spain",244497
"750",2003,"Sweden",244497
"751",2003,"Switzerland",244497
"752",2003,"Ukraine",244497
"753",2003,"United.States",244497
"754",2003,"Uruguay",244497
"755",2003,"Argentina",244497
"756",2003,"Australia",244497
"757",2003,"Austria",244497
"758",2003,"Belgium",244497
"759",2003,"Bolivia",244497
"760",2003,"Brazil",244497
"761",2003,"Bulgaria",244497
"762",2003,"Canada",244497
"763",2003,"Chile",244497
"764",2003,"France",244497
"765",2003,"Germany",244497
"766",2003,"Hungary",244497
"767",2003,"Japan",244497
"768",2003,"Mexico",244497
"769",2003,"Netherlands",244497
"770",2003,"New.Zealand",244497
"771",2003,"Norway",244497
"772",2003,"Paraguay",244497
"773",2003,"Peru",244497
"774",2003,"Poland",244497
"775",2003,"Romania",244497
"776",2003,"Russia",244497
"777",2003,"South.Africa",244497
"778",2003,"Spain",244497
"779",2003,"Sweden",244497
"780",2003,"Switzerland",244497
"781",2003,"Ukraine",244497
"782",2003,"United.States",244497
"783",2003,"Uruguay",244497
"784",2003,"Argentina",244497
"785",2003,"Australia",244497
"786",2003,"Austria",244497
"787",2003,"Belgium",244497
"788",2003,"Bolivia",244497
"789",2003,"Brazil",244497
"790",2003,"Bulgaria",244497
"791",2003,"Canada",244497
"792",2003,"Chile",244497
"793",2003,"France",244497
"794",2003,"Germany",244497
"795",2003,"Hungary",244497
"796",2003,"Japan",244497
"797",2003,"Mexico",244497
"798",2003,"Netherlands",244497
"799",2003,"New.Zealand",244497
"800",2003,"Norway",244497
"801",2003,"Paraguay",244497
"802",2003,"Peru",244497
"803",2003,"Poland",244497
"804",2003,"Romania",244497
"805",2003,"Russia",244497
"806",2003,"South.Africa",244497
"807",2003,"Spain",244497
"808",2003,"Sweden",244497
"809",2003,"Switzerland",244497
"810",2003,"Ukraine",244497
"811",2003,"United.States",244497
"812",2003,"Uruguay",244497
"813",2003,"Argentina",244497
"814",2003,"Australia",244497
"815",2003,"Austria",244497
"816",2003,"Belgium",244497
"817",2003,"Bolivia",244497
"818",2003,"Brazil",244497
"819",2003,"Bulgaria",244497
"820",2003,"Canada",244497
"821",2003,"Chile",244497
"822",2003,"France",244497
"823",2003,"Germany",244497
"824",2003,"Hungary",244497
"825",2003,"Japan",244497
"826",2003,"Mexico",244497
"827",2003,"Netherlands",244497
"828",2003,"New.Zealand",244497
"829",2003,"Norway",244497
"830",2003,"Paraguay",244497
"831",2003,"Peru",244497
"832",2003,"Poland",244497
"833",2003,"Romania",244497
"834",2003,"Russia",244497
"835",2003,"South.Africa",244497
"836",2003,"Spain",244497
"837",2003,"Sweden",244497
"838",2003,"Switzerland",244497
"839",2003,"Ukraine",244497
"840",2003,"United.States",244497
"841",2003,"Uruguay",244497
"842",2003,"Argentina",244497
"843",2003,"Australia",244497
"844",2003,"Austria",244497
"845",2003,"Belgium",244497
"846",2003,"Bolivia",244497
"847",2003,"Brazil",244497
"848",2003,"Bulgaria",244497
"849",2003,"Canada",244497
"850",2003,"Chile",244497
"851",2003,"France",244497
"852",2003,"Germany",244497
"853",2003,"Hungary",244497
"854",2003,"Japan",244497
"855",2003,"Mexico",244497
"856",2003,"Netherlands",244497
"857",2003,"New.Zealand",244497
"858",2003,"Norway",244497
"859",2003,"Paraguay",244497
"860",2003,"Peru",244497
"861",2003,"Poland",244497
"862",2003,"Romania",244497
"863",2003,"Russia",244497
"864",2003,"South.Africa",244497
"865",2003,"Spain",244497
"866",2003,"Sweden",244497
"867",2003,"Switzerland",244497
"868",2003,"Ukraine",244497
"869",2003,"United.States",244497
"870",2003,"Uruguay",244497
"871",2003,"Argentina",244497
"872",2003,"Australia",244497
"873",2003,"Austria",244497
"874",2003,"Belgium",244497
"875",2003,"Bolivia",244497
"876",2003,"Brazil",244497
"877",2003,"Bulgaria",244497
"878",2003,"Canada",244497
"879",2003,"Chile",244497
"880",2003,"France",244497
"881",2003,"Germany",244497
"882",2003,"Hungary",244497
"883",2003,"Japan",244497
"884",2003,"Mexico",244497
"885",2003,"Netherlands",244497
"886",2003,"New.Zealand",244497
"887",2003,"Norway",244497
"888",2003,"Paraguay",244497
"889",2003,"Peru",244497
"890",2003,"Poland",244497
"891",2003,"Romania",244497
"892",2003,"Russia",244497
"893",2003,"South.Africa",244497
"894",2003,"Spain",244497
"895",2003,"Sweden",244497
"896",2003,"Switzerland",244497
"897",2003,"Ukraine",244497
"898",2003,"United.States",244497
"899",2003,"Uruguay",244497
"900",2003,"Argentina",244497
"901",2003,"Australia",244497
"902",2003,"Austria",244497
"903",2003,"Belgium",244497
"904",2003,"Bolivia",244497
"905",2003,"Brazil",244497
"906",2003,"Bulgaria",244497
"907",2003,"Canada",244497
"908",2003,"Chile",244497
"909",2003,"France",244497
"910",2003,"Germany",244497
"911",2003,"Hungary",244497
"912",2003,"Japan",244497
"913",2003,"Mexico",244497
"914",2003,"Netherlands",244497
"915",2003,"New.Zealand",244497
"916",2003,"Norway",244497
"917",2003,"Paraguay",244497
"918",2003,"Peru",244497
"919",2003,"Poland",244497
"920",2003,"Romania",244497
"921",2003,"Russia",244497
"922",2003,"South.Africa",244497
"923",2003,"Spain",244497
"924",2003,"Sweden",244497
"925",2003,"Switzerland",244497
"926",2003,"Ukraine",244497
"927",2003,"United.States",244497
"928",2003,"Uruguay",244497
"929",2003,"Argentina",244497
"930",2003,"Australia",244497
"931",2003,"Austria",244497
"932",2003,"Belgium",244497
"933",2003,"Bolivia",244497
"934",2003,"Brazil",244497
"935",2003,"Bulgaria",244497
"936",2003,"Canada",244497
"937",2003,"Chile",244497
"938",2003,"France",244497
"939",2003,"Germany",244497
"940",2003,"Hungary",244497
"941",2003,"Japan",244497
"942",2003,"Mexico",244497
"943",2003,"Netherlands",244497
"944",2003,"New.Zealand",244497
